Shipment ID	FBA15Q64BLF2
Name	FBA (8/17/20, 9:53 PM) - 4
Plan ID	PLN2YLH944
Ship To	Amazon.com Services, Inc., 1901 Meadowville Technology Pkwy, Chester, VA, US, 23836-2841
Total SKUs	9
Total Units	96
shipment-total-cases	10
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B002-3	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40'' & 21''x34'') Aqua Turquoise	B01CA3EJH4	B01CA3EJH4	EAN : 8902552046883	New	"--"	"--"	"--"	6	1	6
B015-3	Chardin Home - 100% Cotton Two Piece Classic Bath Rug Set, (21''x34'' & 17''x24'') with Anti-Skid Spray Latex Back, 21''x34''/17''x24'', Burgundy	B01LXDD7MA	B01LXDD7MA	EAN : 8902552048184	New	"--"	"--"	"--"	12	1	12
B025-4	Eco Friendly 100% Recycled Cotton Colorful chindi Area Rug - 3'X5'	B074WJ2DBY	B074WJ2DBY	EAN : 8902552050088	New	"--"	"--"	"--"	8	1	8
B030-1	Chardin home Cordural Stripe Bath Runner, Blues with Latex Spray Non-Skid Backing, 24" W x 60'' L	B06WP9ND12	B06WP9ND12	EAN : 8902552049891	New	"--"	"--"	"--"	8	1	8
B030-5	Chardin home Cordural Stripe Bath Runner, Lavender Gray and Coral Pink with Latex Spray Non-Skid Backing, 24" W x 60'' L	B07TJTHX9Z	B07TJTHX9Z	EAN : 8902552051504	New	"--"	"--"	"--"	8	2	16
PM015-1	Chardin home 100% Cotton, Machine Washable, 13''x19'', Laguna Placemats (Set of Four) for Dinner Parties & Holidays, Black/Cream/White	B0874LLLMP	B0874LLLMP	EAN : 0677355172968	New	"--"	"--"	"--"	13	1	13
R002-11	Chardin home 100% Cotton Diamond Area Rug Fully Reversible, Size - 3'x5', Machine Washable, (Black and White)	B074WJ4MPS	B074WJ4MPS	EAN : 8902552050064	New	"--"	"--"	"--"	9	1	9
R005-1	Chardin home Denim Jute Runner Rug. Size: 24"x60"	B074W75Q83	B074W75Q83	EAN : 8902552050163	New	"--"	"--"	"--"	8	1	8
R022-1	Chardin home Rainbow Shag Rug, 20" x 30", Multi-Colored (Multi)	B07CL7J1MN	B07CL7J1MN	EAN : 8902552050972	New	"--"	"--"	"--"	16	1	16
