Shipment ID	FBA15Q68Z8Z1
Name	FBA (8/17/20, 9:53 PM) - 3
Plan ID	PLN2YLH944
Ship To	MEM6, 11505 Progress Way, OLIVE BRANCH, MS, US, 38654-2510
Total SKUs	3
Total Units	19
shipment-total-cases	19
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
R003-1	Chardin home Rainbow Multi Chindi and Natural Hemp Braid Rug, 4' Round	B06VXZL35Z	B06VXZL35Z	EAN : 8902552048863	New	"--"	"--"	"--"	1	11	11
R003-2	Chardin home Rainbow Multi-Chindi and Natural Hemp Braid Rug, 6' Round	B06X1FDCQR	B06X1FDCQR	EAN : 8902552048870	New	"--"	"--"	"--"	1	5	5
R027-1	Chardin home Rainbow Multi Chindi and Natural Hemp Braid Rug, 3' Round	B07CJMNKFG	B07CJMNKFG	EAN : 8902552051023	New	"--"	"--"	"--"	1	3	3
